std,median,quantitle_25,MAT_CODE,numbers,label
6.975,18.0,21.5,10,31,1
0.0,1.0,1.0,10201000030000,3,0
0.0,1.0,1.0,10201000120000,3,0
0.0,1.0,1.0,10201000140000,8,0
0.331,1.0,1.0,10201000170000,8,0
0.0,1.0,1.0,10201000200000,1,0
0.0,1.0,1.0,10201000210000,2,0
0.0,1.0,1.0,10201000220000,6,0
0.0,1.0,1.0,10201000270000,3,0
0.0,1.0,1.0,10201000600000,3,0
0.44299999999999995,1.0,1.0,10301000010000,847,0
1.0659999999999998,1.0,1.0,10301000040000,63,0
5.787000000000001,3.0,6.0,10301000050000,1106,2
1.531,1.0,1.5,10301000160000,19,0
3.0869999999999997,1.0,2.0,10301000170000,628,0
3.971,2.0,6.0,10301000180000,339,0
0.0,1.0,1.0,10301000220000,1,0
1.652,1.0,1.0,10301000250000,2789,0
6.343999999999999,1.0,4.0,10302000010000,7152,0
3.1069999999999998,1.0,3.0,10302000020000,611,0
7.718,1.0,10.0,10302000050000,12417,2
7.439,2.0,9.0,10302000150000,983,2
7.495,1.0,6.0,10302000160000,2520,2
7.5920000000000005,4.0,11.0,10302000170000,1051,2
8.295,16.0,22.0,20,5052,1
8.271,15.0,22.0,25,5122,1
7.52,7.0,14.0,30,6883,2
0.9309999999999999,2.0,2.0,33,81,0
7.434,8.0,15.0,40,11934,2
8.061,3.0,11.0,42,258,2
8.503,16.0,23.0,50,7402,1
9.023,20.0,22.5,66,11,1
5.0,8.0,10.5,70,2,2
0.0,22.0,22.0,72,1,3
0.0,29.0,29.0,81,1,3
9.311,13.0,21.0,82,77,1
9.067,21.5,26.0,83,46,1
9.527999999999999,11.0,21.0,84,1003,1
